ds,yhat,yhat_lower,yhat_upper
2010-01-01,9.413745106462754,6.862522056049144,12.144308307150538
2010-01-02,9.360866467873205,6.7655246517831875,11.928886853912253
2010-01-03,9.483529844415763,6.852715451441542,11.994280723975773
2010-01-04,9.477907039516978,6.737027865179896,12.137692102553428
2010-01-05,9.585028920199324,6.9518530650314885,12.1175563789343
2010-01-06,9.54230877924909,7.066966434966456,12.185897998368318
2010-01-07,9.58017649226068,6.894743992523938,12.224869564650138
2010-01-08,9.613788870405049,7.0589884980521065,12.25180099829089
2010-01-09,9.574100693744466,7.00379921311681,12.173706736916673
2010-01-10,9.705567361489198,7.013262023370142,12.247663003736632
2010-01-11,9.704586753617448,7.078312362082047,12.229881763857453
2010-01-12,9.812538090093717,7.105487015772765,12.404788629415991
2010-01-13,9.767297253526106,7.045757508737408,12.460850860026978
2010-01-14,9.799859698601804,7.201652409542367,12.43563910039875
2010-01-15,9.826036615091502,6.997044463906023,12.230560325991796
2010-01-16,9.77750917674009,7.055243750765741,12.456931578563182
2010-01-17,9.89951223279804,7.47164435074664,12.400172839365206
2010-01-18,9.889255519057645,7.414082273626924,12.449602245666018
2010-01-19,9.988940706684513,7.252878567521386,12.561755315994226
2010-01-20,9.937254322439113,7.522638229123039,12.467726810796556
2010-01-21,9.96596825211883,7.423744916305217,12.311206162444003
2010-01-22,9.991614087662937,7.392349120242948,12.441883220532414
2010-01-23,9.946516733201026,7.426850310885055,12.519235428715366
2010-01-24,10.076459183498923,7.788259540578885,12.671199012364815
2010-01-25,10.079087067073148,7.581071532735725,12.538067947042455
2010-01-26,10.196911732465313,7.710382107608933,12.750177304403977
2010-01-27,10.168792303697494,7.85057330236887,12.684351754095163
2010-01-28,10.22652873065206,7.785607651521776,12.69378334405134
2010-01-29,10.286532321462648,7.734860699238733,13.013475550250046
2010-01-30,10.280859305197591,7.94664500338067,12.89093280172661
2010-01-31,10.454879373645202,7.952122607688837,12.966411955976575
2010-02-01,10.5056877308931,7.79618954353041,12.897589741562605
2010-02-02,10.675119267894067,8.002785707649418,13.293130731163053
2010-02-03,10.701245032945154,8.080520056563408,13.30314517952235
2010-02-04,10.814982681279561,8.206328920446834,13.290515789968005
2010-02-05,10.931786969590094,8.20144453248829,13.517571698988345
2010-02-06,10.982705354577748,8.51259192247529,13.53823471078635
2010-02-07,11.212070099876703,8.676066901814309,13.704866884351706
2010-02-08,11.315934834365551,8.676759263251261,13.935522400060615
2010-02-09,11.53511356742597,9.019020393469528,14.115284524787455
2010-02-10,11.606701710315102,9.116188025286206,14.116286163289507
2010-02-11,11.76071017116691,9.14187094991166,14.427920509764595
2010-02-12,11.911777995789944,9.302255685031279,14.401565643093242
2010-02-13,11.990248057170902,9.316736237820454,14.441489074549034
2010-02-14,12.239876693652297,9.676731808039936,14.831831727929623
2010-02-15,12.356284799289622,9.842750243424174,14.901621163150752
2010-02-16,12.58000800853129,10.110854394375973,15.002815339820133
2010-02-17,12.648025246357117,10.070351048900049,15.101837900116983
2010-02-18,12.79039652567201,10.005731105438967,15.43958351268782
2010-02-19,12.92197537532246,10.34185195314965,15.240700800639067
2010-02-20,12.973480411640281,10.453409231520071,15.498678298146249
2010-02-21,13.18919706172828,10.434211212100564,15.703327580627594
2010-02-22,13.265417145241537,10.76267848068765,15.509783072394791
2010-02-23,13.443474249377545,10.963960634075015,16.156053846525978
2010-02-24,13.461254542123603,11.006918103523963,15.983714772771693
2010-02-25,13.549814350725024,11.05431018058806,16.126707539110374
2010-02-26,13.62507039326546,11.077669776220649,16.125492176830274
2010-02-27,13.61884772679356,11.06414497915728,16.106879210556748
2010-02-28,13.776557002261184,11.258377364159903,16.488912891220284
2010-03-01,13.795609331384952,11.345752849993595,16.46583819357831
2010-03-02,13.91842729934787,11.473054388065075,16.673237791619847
2010-03-03,13.88393235299302,11.419158295115016,16.397796264948667
2010-03-04,13.92414044665954,11.467439238921775,16.415253317837486
2010-03-05,13.955832345305522,11.280853956545581,16.665316709292885
2010-03-06,13.911584104054386,11.350112498145172,16.361597685417394
2010-03-07,14.03742970294559,11.634831562603356,16.60337302857543
2010-03-08,14.0312644542185,11.436112703751686,16.62527887025499
2010-03-09,14.135847944824635,11.593267925249416,16.671205069705472
2010-03-10,14.090286884442138,11.56049639134755,16.693680124134794
2010-03-11,14.126629791164966,11.541599682493425,16.629103804598323
2010-03-12,14.161539874003672,11.41110369169027,16.77801620762051
2010-03-13,14.12733150267599,11.450088699373177,16.598401472706804
2010-03-14,14.26964203145781,11.854862840194556,16.770072334423876
2010-03-15,14.285847305839372,11.620615989370748,16.95730548103856
2010-03-16,14.418079258432156,11.678193250124878,16.880881982921103
2010-03-17,14.404725550871799,11.794368450770857,16.91578445041387
2010-03-18,14.477042734973795,11.732004931107282,16.992894444246755
2010-03-19,14.550848800786573,11.958234259608831,17.145246371065642
2010-03-20,14.557579991493938,11.701717368297155,17.013219193627183
2010-03-21,14.74198313611507,12.057022382449414,17.32201749577887
2010-03-22,14.800551321359203,12.271225134485732,17.236961899988636
2010-03-23,14.974560823262985,12.531043319856144,17.50074697206488
2010-03-24,15.001588803518603,12.473878472374645,17.651931404037644
2010-03-25,15.112142837062217,12.486885345836836,17.416045046754896
2010-03-26,15.221367786793959,12.706612096251755,17.838600725091343
2010-03-27,15.26011461656681,12.636023323860611,17.91295444914055
2010-03-28,15.472642173678679,12.980924561645859,18.03774010361147
2010-03-29,15.555059615786838,13.250434439531718,18.07504007590325
2010-03-30,15.7483673316583,13.11488370534506,18.21877577926838
