STATION,TEMP,PRCP,LATITUDE,LONGITUDE,CLUSTER
76001399999,62.969869152177814,11.868268506900877,32.541064,-116.970158,-1
76005399999,76.38831590335377,2.9945221781464118,32.630634,-115.241637,0
76040099999,75.25943417242146,0.00270216083760303,32.4,-115.1833333,0
76055099999,77.86167341430499,0.20472334682860996,31.0333333,-114.85,0
76075399999,70.08971962616823,7.458779654924515,31.636132999999997,-106.428667,-1
76075499999,77.90070972320795,11.075330021291697,16.739919,-93.173297,0
76113099999,76.23483113069017,0.02320704845814978,30.7166666,-111.8333333,0
76118099999,68.27124183006536,0.0,30.3666666,-109.6833333,0
76122099999,64.95698883326915,0.2397073546399692,30.366666599999995,-107.95,0
76160099999,78.69991036213696,1.8410290426676228,29.095858,-111.047858,0
76220099999,59.1666951323655,0.34077070879590093,28.95,-107.8166666,0
76225099999,69.16209956709957,0.13673809523809524,28.633333299999997,-106.0833333,0
76225399999,69.41561826024443,9.187789360172538,28.702875,-105.964567,-1
76243099999,75.08920179372197,0.23119820627802687,28.627394,-100.535211,0
76253099999,78.89076867816092,5.250039511494252,27.392639,-109.833111,0
76255599999,79.90408821947283,1.6176403084095392,27.968983,-110.925169,0
76256099999,78.55991207034373,0.013045563549160671,27.95,-110.76666659999998,0
76258099999,79.58300104931794,0.2851783840503672,27.4833333,-109.91666600000002,0
76286399999,77.67495952509444,9.724347904299334,27.443918,-99.57045999999998,0
76311099999,78.05275994865211,0.08880616174582798,26.7333333,-108.2833333,0
76323099999,68.52374241534547,0.15821491485613623,26.9333333,-105.6666666,0
76342099999,75.2572356549982,0.176957776975821,26.955733,-101.470136,0
76350399999,75.86874662830425,13.36653479590002,26.008907999999998,-98.22851299999999,0
76361599999,78.08126009693054,3.9494022617124394,25.685193999999996,-109.08080600000001,0
76373099999,65.21529892313404,0.14982547344968436,25.35,-105.75,0
76382099999,76.08582662063675,0.44528193325661675,25.568278000000003,-103.41058299999999,0
76390099999,67.65232120451694,0.6488474637031726,25.3666666,-101.0166666,0
76393099999,74.23126011560694,0.9680323699421964,25.7333333,-100.3,0
76394099999,74.24247263592319,16.743863269334287,25.865571999999997,-100.237239,0
76394399999,72.36486825595985,21.47194658540957,25.778489,-100.106878,-1
76399399999,77.31905704516825,15.477684002159437,25.769894,-97.525311,0
76402099999,74.80912332214766,0.20440016778523487,25.0,-111.633333,0
76405099999,78.77528047157254,0.037497623122266587,24.1666666,-110.3,0
76405599999,77.02355579476139,3.697082884822389,24.072694,-110.362475,0
76405699999,78.35905667144907,4.465439383070301,23.15185,-109.721044,0
76412099999,79.82412186379928,2.0721505376344083,24.764547,-107.474717,0
76423099999,66.24829840415305,0.2722668717554316,24.05,-104.6,0
76423599999,65.97149004841313,15.438174645866953,24.124194,-104.52801399999998,-1
76459399999,74.84163828643126,12.886605126366732,23.161356,-106.26607199999998,0
76471099999,64.73989623156744,0.12032768978700163,23.6333333,-103.65,0
76491099999,76.39423076923077,0.22238846153846156,23.742372,-99.169994,0
76491599999,77.70161974546856,12.116791361357501,23.704139,-98.956611,0
76499099999,78.11997523730912,0.17868757738340899,23.7666666,-98.2,0
76519099999,73.14048243314106,0.17354483481908756,22.1,-103.2666666,0
76525099999,58.63025210084034,0.16748341441839895,22.7833333,-102.5666666,0
76525599999,61.8652658045977,15.174547413793102,22.897112,-102.68689,-1
76539099999,63.66236559139785,0.9398817204301075,22.254303,-100.930806,0
76543099999,78.83493083003953,0.4456422924901186,22.0,-98.7666666,0
76548099999,77.59784881383193,0.2143365500603136,22.2,-97.85,0
76549399999,77.04272401433693,16.08152329749104,22.29645,-97.865931,0
76556099999,73.04997311346119,0.4797383043556193,21.419453,-104.842581,0
76571099999,65.87387096774194,2.6502222222222223,21.705461,-102.31786900000002,0
76573099999,66.87663157894737,0.44869473684210526,21.35,-101.9166666,0
76577099999,68.28386060306475,0.3771774592189817,21.0,-101.2833333,0
76577399999,67.40726196880043,16.46320423166577,20.9833333,-101.4833333,-1
76581099999,72.84283751962323,0.1090129513343799,21.9333333,-99.9833333,0
76585099999,78.23956043956044,0.5716602316602316,21.3166666,-98.8166666,0
76595099999,78.86411543287328,25.092012905538628,21.036528,-86.877083,-1
76601399999,77.60705818965516,18.983778735632182,20.680083,-105.254167,0
76601599999,69.11823708206687,11.262066869300911,20.755833,-103.465278,-1
