STATION,TEMP,PRCP,ELEVATION,LATITUDE,LONGITUDE,CLUSTER
76001399999,62.969869152177814,11.868268506900877,149.04,32.541064,-116.970158,2
76005399999,76.38831590335377,2.9945221781464118,22.55,32.630634,-115.241637,2
76040099999,75.25943417242146,0.00270216083760303,11.0,32.4,-115.1833333,2
76055099999,77.86167341430499,0.20472334682860996,15.0,31.0333333,-114.85,2
76075399999,70.08971962616823,7.458779654924515,1189.93,31.636132999999997,-106.428667,2
76075499999,77.90070972320795,11.075330021291697,581.86,16.739919,-93.173297,1
76113099999,76.23483113069017,0.02320704845814978,398.0,30.7166666,-111.8333333,2
76118099999,68.27124183006536,0.0,1041.0,30.3666666,-109.6833333,2
76122099999,64.95698883326915,0.2397073546399692,1487.0,30.366666599999995,-107.95,2
76160099999,78.69991036213696,1.8410290426676228,191.1,29.095858,-111.047858,2
76220099999,59.1666951323655,0.34077070879590093,1932.0,28.95,-107.8166666,0
76225099999,69.16209956709957,0.13673809523809524,1433.0,28.633333299999997,-106.0833333,2
76225399999,69.41561826024443,9.187789360172538,1360.01,28.702875,-105.964567,2
76243099999,75.08920179372197,0.23119820627802687,274.62,28.627394,-100.535211,2
76253099999,78.89076867816092,5.250039511494252,62.47999999999999,27.392639,-109.833111,2
76255599999,79.90408821947283,1.6176403084095392,17.98,27.968983,-110.925169,2
76256099999,78.55991207034373,0.013045563549160671,12.0,27.95,-110.76666659999998,2
76258099999,79.58300104931794,0.2851783840503672,38.0,27.4833333,-109.91666600000002,2
76286399999,77.67495952509444,9.724347904299334,147.52,27.443918,-99.57045999999998,2
76311099999,78.05275994865211,0.08880616174582798,238.0,26.7333333,-108.2833333,2
76323099999,68.52374241534547,0.15821491485613623,1661.0,26.9333333,-105.6666666,0
76342099999,75.2572356549982,0.176957776975821,568.14,26.955733,-101.470136,2
76350399999,75.86874662830425,13.36653479590002,42.36,26.008907999999998,-98.22851299999999,3
76361599999,78.08126009693054,3.9494022617124394,4.87,25.685193999999996,-109.08080600000001,2
76373099999,65.21529892313404,0.14982547344968436,1967.0,25.35,-105.75,0
76382099999,76.08582662063675,0.44528193325661675,1124.1,25.568278000000003,-103.41058299999999,2
